CW;CHH
16.031;45.755
16.208;46
16.215;46.01
16.217;46.013
16.223;46.02
16.236;46.039
16.239;46.043
16.253;46.062
16.267;46.081
16.271;46.087
16.283;46.104
16.287;46.109
16.29;46.113
16.294;46.119
16.546;46.462
16.549;46.465
16.552;46.47
16.554;46.472
16.555;46.475
16.558;46.477
16.568;46.492
16.573;46.498
16.577;46.504
16.608;46.547
16.61;46.548
16.611;46.55
16.629;46.574
16.648;46.6
16.663;46.621
16.664;46.622
16.671;46.631
16.675;46.637
16.739;46.723
16.741;46.726
16.746;46.732
16.749;46.736
16.758;46.749
16.76;46.751
16.766;46.758
16.773;46.768
16.775;46.77
16.78;46.777
16.791;46.793
16.794;46.796
16.795;46.797
16.964;47.021
16.972;47.031
16.978;47.039
16.982;47.044
16.996;47.063
17.018;47.092
17.033;47.112
17.037;47.117
17.041;47.122
17.047;47.13
17.052;47.137
17.058;47.145
17.167;47.287
17.171;47.292
17.172;47.293
17.179;47.303
17.203;47.334
17.209;47.342
17.22;47.356
17.23;47.368
17.237;47.377
17.251;47.395
17.252;47.398
18.953;49.582
18.963;49.596
18.982;49.619
18.99;49.63
19.002;49.645
19.039;49.693
19.041;49.695
19.05;49.708
19.11;49.783
19.118;49.795
19.122;49.799
19.148;49.832
19.151;49.837
19.241;49.952
19.246;49.958
19.247;49.96
19.255;49.97
19.275;49.995
19.328;50.062
19.33;50.065
19.337;50.074
19.346;50.086
19.348;50.088
19.381;50.129
19.391;50.143
19.639;50.457
19.642;50.46
19.646;50.465
19.649;50.469
19.659;50.481
19.661;50.484
19.689;50.52
19.759;50.608
19.762;50.612
19.765;50.615
19.806;50.668
19.832;50.7
19.836;50.705
19.917;50.807
19.919;50.809
19.924;50.816
19.927;50.819
19.939;50.835
19.94;50.836
19.944;50.841
19.949;50.847
20.287;51.27
20.288;51.271
20.294;51.279
20.3;51.286
20.302;51.288
20.32;51.31
20.323;51.314
20.333;51.326
20.364;51.365
20.369;51.371
20.377;51.382
20.381;51.387
20.414;51.427
20.432;51.45
20.462;51.487
20.483;51.513
20.488;51.519
20.788;51.889
20.795;51.897
20.801;51.904
20.807;51.912
20.812;51.918
20.825;51.935
20.84;51.953
20.847;51.961
20.849;51.963
20.85;51.965
20.882;52.004
20.884;52.006
20.895;52.02
20.9;52.026
20.947;52.084
20.949;52.086
20.959;52.098
20.964;52.105
20.99;52.136
20.998;52.146
20.999;52.147
21.55;52.816
21.55;52.817
21.566;52.836
21.569;52.839
21.575;52.848
21.606;52.885
21.608;52.887
21.627;52.91
21.645;52.932
21.646;52.933
21.689;52.986
21.712;53.013
21.72;53.022
21.75;53.059
21.759;53.069
21.768;53.08
21.815;53.137
21.819;53.142
21.825;53.15
21.829;53.153
22.104;53.484
22.106;53.486
22.119;53.501
22.12;53.502
22.124;53.507
22.127;53.511
22.182;53.577
22.184;53.579
22.196;53.594
22.204;53.603
22.213;53.613
22.228;53.632
22.25;53.658
22.284;53.698
22.287;53.702
22.293;53.709
22.308;53.726
22.775;54.279
22.78;54.286
22.787;54.293
22.795;54.303
22.818;54.33
22.888;54.413
22.892;54.417
22.901;54.429
22.903;54.431
22.942;54.476
22.948;54.484
22.969;54.508
22.977;54.517
23;54.545
23.038;54.589
23.043;54.595
23.249;54.836
23.25;54.837
23.251;54.838
23.257;54.845
23.259;54.848
23.265;54.855
23.305;54.901
23.313;54.91
23.367;54.973
23.415;55.028
23.446;55.065
23.448;55.067
23.468;55.09
23.47;55.093
23.471;55.094
23.477;55.101
23.89;55.576
23.891;55.578
23.906;55.595
23.911;55.601
23.927;55.619
23.969;55.667
23.972;55.671
23.973;55.673
24.007;55.711
24.009;55.713
24.015;55.72
24.047;55.757
24.054;55.765
24.075;55.789
24.11;55.829
24.119;55.84
24.12;55.841
24.125;55.846
24.307;56.054
24.309;56.056
24.313;56.06
